IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.234.12,4,4,0.00,48.26,100.24
104.17.152.228,4,4,0.00,48.54,73.67
104.17.176.202,4,4,0.00,47.70,51.03
104.17.123.137,4,4,0.00,48.48,49.57
104.17.210.86,4,4,0.00,48.11,45.82
104.16.240.52,4,4,0.00,48.57,41.66
104.17.183.157,4,4,0.00,48.28,39.55
